target,window_index,unit,true_rul,pred_rul,true_fault,fault_probability,sensor,sensor_rank,abs_input_gradient,subsystem,likely_fault_mode,maintenance_action
rul,8251,81,8.0,9.029062271118164,1.0,0.985602617263794,s3,11,0.07028421759605408,thermal core,abnormal high-pressure compressor temperature,inspect compressor thermal margins and sensor calibration
rul,8251,81,8.0,9.029062271118164,1.0,0.985602617263794,s17,12,0.0524049773812294,bleed and cooling control,bleed/cooling control deviation,inspect bleed and cooling control actuation
rul,8251,81,8.0,9.029062271118164,1.0,0.985602617263794,s9,13,0.038676586002111435,high-pressure spool,high-spool speed anomaly,inspect high-pressure spool dynamics
rul,8251,81,8.0,9.029062271118164,1.0,0.985602617263794,s14,14,0.014138121157884598,spool speed control,corrected core-speed deviation,inspect core-speed response and controller behavior
rul,7000,68,8.0,10.150555610656738,1.0,0.9834919571876526,s12,1,0.3369486629962921,bypass and flow path,bypass ratio or flow instability,inspect bypass flow and related instrumentation
rul,7000,68,8.0,10.150555610656738,1.0,0.9834919571876526,s11,2,0.2939179837703705,bypass and flow path,bypass pressure or flow-path degradation,inspect bypass duct pressure behavior
rul,7000,68,8.0,10.150555610656738,1.0,0.9834919571876526,s2,3,0.288786917924881,thermal core,abnormal core temperature trend,inspect temperature instrumentation and hot-section condition
rul,7000,68,8.0,10.150555610656738,1.0,0.9834919571876526,s21,4,0.1612885296344757,fuel and actuator response,fuel-flow or actuator response anomaly,inspect fuel metering and actuator response
rul,7000,68,8.0,10.150555610656738,1.0,0.9834919571876526,s7,5,0.1612376570701599,compressor flow path,pressure-ratio degradation,inspect compressor flow path and pressure sensors
rul,7000,68,8.0,10.150555610656738,1.0,0.9834919571876526,s15,6,0.1372028887271881,engine efficiency,efficiency degradation signature,review performance deterioration and schedule detailed inspection
rul,7000,68,8.0,10.150555610656738,1.0,0.9834919571876526,s4,7,0.13691219687461853,thermal core,elevated turbine temperature signature,inspect turbine gas path and cooling effectiveness
rul,7000,68,8.0,10.150555610656738,1.0,0.9834919571876526,s13,8,0.12056847661733627,spool speed control,corrected fan-speed deviation,inspect speed-control response and operating point
rul,7000,68,8.0,10.150555610656738,1.0,0.9834919571876526,s8,9,0.10564669966697693,fan and low-pressure compressor,fan-speed or low-spool operating anomaly,inspect fan/LPC operating margins
rul,7000,68,8.0,10.150555610656738,1.0,0.9834919571876526,s20,10,0.09571591019630432,fuel and actuator response,fuel-flow or actuator response anomaly,inspect fuel metering and actuator response
rul,7000,68,8.0,10.150555610656738,1.0,0.9834919571876526,s17,11,0.07456967979669571,bleed and cooling control,bleed/cooling control deviation,inspect bleed and cooling control actuation
rul,7000,68,8.0,10.150555610656738,1.0,0.9834919571876526,s9,12,0.05736647546291351,high-pressure spool,high-spool speed anomaly,inspect high-pressure spool dynamics
rul,7000,68,8.0,10.150555610656738,1.0,0.9834919571876526,s3,13,0.05698585882782936,thermal core,abnormal high-pressure compressor temperature,inspect compressor thermal margins and sensor calibration
rul,7000,68,8.0,10.150555610656738,1.0,0.9834919571876526,s14,14,0.024962076917290688,spool speed control,corrected core-speed deviation,inspect core-speed response and controller behavior
rul,7713,76,12.0,13.452095031738281,1.0,0.9826834201812744,s12,1,0.2133295238018036,bypass and flow path,bypass ratio or flow instability,inspect bypass flow and related instrumentation
rul,7713,76,12.0,13.452095031738281,1.0,0.9826834201812744,s11,2,0.18630185723304749,bypass and flow path,bypass pressure or flow-path degradation,inspect bypass duct pressure behavior
rul,7713,76,12.0,13.452095031738281,1.0,0.9826834201812744,s9,3,0.18452028930187225,high-pressure spool,high-spool speed anomaly,inspect high-pressure spool dynamics
rul,7713,76,12.0,13.452095031738281,1.0,0.9826834201812744,s2,4,0.17033961415290833,thermal core,abnormal core temperature trend,inspect temperature instrumentation and hot-section condition
rul,7713,76,12.0,13.452095031738281,1.0,0.9826834201812744,s15,5,0.13297328352928162,engine efficiency,efficiency degradation signature,review performance deterioration and schedule detailed inspection
rul,7713,76,12.0,13.452095031738281,1.0,0.9826834201812744,s4,6,0.12301904708147049,thermal core,elevated turbine temperature signature,inspect turbine gas path and cooling effectiveness
rul,7713,76,12.0,13.452095031738281,1.0,0.9826834201812744,s21,7,0.11871199309825897,fuel and actuator response,fuel-flow or actuator response anomaly,inspect fuel metering and actuator response
rul,7713,76,12.0,13.452095031738281,1.0,0.9826834201812744,s14,8,0.11391711235046387,spool speed control,corrected core-speed deviation,inspect core-speed response and controller behavior
rul,7713,76,12.0,13.452095031738281,1.0,0.9826834201812744,s7,9,0.0819874107837677,compressor flow path,pressure-ratio degradation,inspect compressor flow path and pressure sensors
rul,7713,76,12.0,13.452095031738281,1.0,0.9826834201812744,s20,10,0.07059385627508163,fuel and actuator response,fuel-flow or actuator response anomaly,inspect fuel metering and actuator response
rul,7713,76,12.0,13.452095031738281,1.0,0.9826834201812744,s3,11,0.05779584124684334,thermal core,abnormal high-pressure compressor temperature,inspect compressor thermal margins and sensor calibration
rul,7713,76,12.0,13.452095031738281,1.0,0.9826834201812744,s13,12,0.048997558653354645,spool speed control,corrected fan-speed deviation,inspect speed-control response and operating point
rul,7713,76,12.0,13.452095031738281,1.0,0.9826834201812744,s17,13,0.04307961091399193,bleed and cooling control,bleed/cooling control deviation,inspect bleed and cooling control actuation
rul,7713,76,12.0,13.452095031738281,1.0,0.9826834201812744,s8,14,0.037236880511045456,fan and low-pressure compressor,fan-speed or low-spool operating anomaly,inspect fan/LPC operating margins
rul,6999,68,9.0,10.402432441711426,1.0,0.9819336533546448,s12,1,0.3598387837409973,bypass and flow path,bypass ratio or flow instability,inspect bypass flow and related instrumentation
rul,6999,68,9.0,10.402432441711426,1.0,0.9819336533546448,s11,2,0.3075490891933441,bypass and flow path,bypass pressure or flow-path degradation,inspect bypass duct pressure behavior
rul,6999,68,9.0,10.402432441711426,1.0,0.9819336533546448,s2,3,0.2987930476665497,thermal core,abnormal core temperature trend,inspect temperature instrumentation and hot-section condition
rul,6999,68,9.0,10.402432441711426,1.0,0.9819336533546448,s7,4,0.17481619119644165,compressor flow path,pressure-ratio degradation,inspect compressor flow path and pressure sensors
rul,6999,68,9.0,10.402432441711426,1.0,0.9819336533546448,s21,5,0.1612284928560257,fuel and actuator response,fuel-flow or actuator response anomaly,inspect fuel metering and actuator response
rul,6999,68,9.0,10.402432441711426,1.0,0.9819336533546448,s4,6,0.13636337220668793,thermal core,elevated turbine temperature signature,inspect turbine gas path and cooling effectiveness
rul,6999,68,9.0,10.402432441711426,1.0,0.9819336533546448,s15,7,0.13429628312587738,engine efficiency,efficiency degradation signature,review performance deterioration and schedule detailed inspection
rul,6999,68,9.0,10.402432441711426,1.0,0.9819336533546448,s13,8,0.12193324416875839,spool speed control,corrected fan-speed deviation,inspect speed-control response and operating point
rul,6999,68,9.0,10.402432441711426,1.0,0.9819336533546448,s8,9,0.10990394651889801,fan and low-pressure compressor,fan-speed or low-spool operating anomaly,inspect fan/LPC operating margins
rul,6999,68,9.0,10.402432441711426,1.0,0.9819336533546448,s20,10,0.10053429007530212,fuel and actuator response,fuel-flow or actuator response anomaly,inspect fuel metering and actuator response
rul,6999,68,9.0,10.402432441711426,1.0,0.9819336533546448,s17,11,0.07711292803287506,bleed and cooling control,bleed/cooling control deviation,inspect bleed and cooling control actuation
rul,6999,68,9.0,10.402432441711426,1.0,0.9819336533546448,s9,12,0.06059221550822258,high-pressure spool,high-spool speed anomaly,inspect high-pressure spool dynamics
rul,6999,68,9.0,10.402432441711426,1.0,0.9819336533546448,s3,13,0.05796241760253906,thermal core,abnormal high-pressure compressor temperature,inspect compressor thermal margins and sensor calibration
rul,6999,68,9.0,10.402432441711426,1.0,0.9819336533546448,s14,14,0.0275074802339077,spool speed control,corrected core-speed deviation,inspect core-speed response and controller behavior
rul,3281,34,7.0,7.77782678604126,1.0,0.9806489944458008,s12,1,0.22103698551654816,bypass and flow path,bypass ratio or flow instability,inspect bypass flow and related instrumentation
rul,3281,34,7.0,7.77782678604126,1.0,0.9806489944458008,s11,2,0.1851079910993576,bypass and flow path,bypass pressure or flow-path degradation,inspect bypass duct pressure behavior
rul,3281,34,7.0,7.77782678604126,1.0,0.9806489944458008,s2,3,0.1711811125278473,thermal core,abnormal core temperature trend,inspect temperature instrumentation and hot-section condition
rul,3281,34,7.0,7.77782678604126,1.0,0.9806489944458008,s13,4,0.15838922560214996,spool speed control,corrected fan-speed deviation,inspect speed-control response and operating point
rul,3281,34,7.0,7.77782678604126,1.0,0.9806489944458008,s7,5,0.14011147618293762,compressor flow path,pressure-ratio degradation,inspect compressor flow path and pressure sensors
rul,3281,34,7.0,7.77782678604126,1.0,0.9806489944458008,s8,6,0.11370056122541428,fan and low-pressure compressor,fan-speed or low-spool operating anomaly,inspect fan/LPC operating margins
rul,3281,34,7.0,7.77782678604126,1.0,0.9806489944458008,s14,7,0.10269112884998322,spool speed control,corrected core-speed deviation,inspect core-speed response and controller behavior
rul,3281,34,7.0,7.77782678604126,1.0,0.9806489944458008,s20,8,0.0718148723244667,fuel and actuator response,fuel-flow or actuator response anomaly,inspect fuel metering and actuator response
rul,3281,34,7.0,7.77782678604126,1.0,0.9806489944458008,s9,9,0.06922540813684464,high-pressure spool,high-spool speed anomaly,inspect high-pressure spool dynamics
rul,3281,34,7.0,7.77782678604126,1.0,0.9806489944458008,s4,10,0.06384863704442978,thermal core,elevated turbine temperature signature,inspect turbine gas path and cooling effectiveness
rul,3281,34,7.0,7.77782678604126,1.0,0.9806489944458008,s21,11,0.06354108452796936,fuel and actuator response,fuel-flow or actuator response anomaly,inspect fuel metering and actuator response
rul,3281,34,7.0,7.77782678604126,1.0,0.9806489944458008,s15,12,0.0585523284971714,engine efficiency,efficiency degradation signature,review performance deterioration and schedule detailed inspection
rul,3281,34,7.0,7.77782678604126,1.0,0.9806489944458008,s3,13,0.044830575585365295,thermal core,abnormal high-pressure compressor temperature,inspect compressor thermal margins and sensor calibration
rul,3281,34,7.0,7.77782678604126,1.0,0.9806489944458008,s17,14,0.038613028824329376,bleed and cooling control,bleed/cooling control deviation,inspect bleed and cooling control actuation
rul,8250,81,9.0,10.862943649291992,1.0,0.9804847836494446,s12,1,0.338593989610672,bypass and flow path,bypass ratio or flow instability,inspect bypass flow and related instrumentation
rul,8250,81,9.0,10.862943649291992,1.0,0.9804847836494446,s2,2,0.29186201095581055,thermal core,abnormal core temperature trend,inspect temperature instrumentation and hot-section condition
rul,8250,81,9.0,10.862943649291992,1.0,0.9804847836494446,s11,3,0.2684759497642517,bypass and flow path,bypass pressure or flow-path degradation,inspect bypass duct pressure behavior
rul,8250,81,9.0,10.862943649291992,1.0,0.9804847836494446,s7,4,0.2125469148159027,compressor flow path,pressure-ratio degradation,inspect compressor flow path and pressure sensors
rul,8250,81,9.0,10.862943649291992,1.0,0.9804847836494446,s21,5,0.14569935202598572,fuel and actuator response,fuel-flow or actuator response anomaly,inspect fuel metering and actuator response
rul,8250,81,9.0,10.862943649291992,1.0,0.9804847836494446,s4,6,0.13187621533870697,thermal core,elevated turbine temperature signature,inspect turbine gas path and cooling effectiveness
rul,8250,81,9.0,10.862943649291992,1.0,0.9804847836494446,s15,7,0.12342588603496552,engine efficiency,efficiency degradation signature,review performance deterioration and schedule detailed inspection
rul,8250,81,9.0,10.862943649291992,1.0,0.9804847836494446,s13,8,0.11147423088550568,spool speed control,corrected fan-speed deviation,inspect speed-control response and operating point
rul,8250,81,9.0,10.862943649291992,1.0,0.9804847836494446,s8,9,0.10172399878501892,fan and low-pressure compressor,fan-speed or low-spool operating anomaly,inspect fan/LPC operating margins
rul,8250,81,9.0,10.862943649291992,1.0,0.9804847836494446,s20,10,0.095016710460186,fuel and actuator response,fuel-flow or actuator response anomaly,inspect fuel metering and actuator response
rul,8250,81,9.0,10.862943649291992,1.0,0.9804847836494446,s3,11,0.0756794661283493,thermal core,abnormal high-pressure compressor temperature,inspect compressor thermal margins and sensor calibration
rul,8250,81,9.0,10.862943649291992,1.0,0.9804847836494446,s17,12,0.05333910882472992,bleed and cooling control,bleed/cooling control deviation,inspect bleed and cooling control actuation
rul,8250,81,9.0,10.862943649291992,1.0,0.9804847836494446,s9,13,0.03969205915927887,high-pressure spool,high-spool speed anomaly,inspect high-pressure spool dynamics
rul,8250,81,9.0,10.862943649291992,1.0,0.9804847836494446,s14,14,0.014102390967309475,spool speed control,corrected core-speed deviation,inspect core-speed response and controller behavior
rul,3280,34,8.0,7.949533939361572,1.0,0.9803004264831543,s12,1,0.22928181290626526,bypass and flow path,bypass ratio or flow instability,inspect bypass flow and related instrumentation
rul,3280,34,8.0,7.949533939361572,1.0,0.9803004264831543,s11,2,0.19420625269412994,bypass and flow path,bypass pressure or flow-path degradation,inspect bypass duct pressure behavior
rul,3280,34,8.0,7.949533939361572,1.0,0.9803004264831543,s2,3,0.1753425896167755,thermal core,abnormal core temperature trend,inspect temperature instrumentation and hot-section condition
rul,3280,34,8.0,7.949533939361572,1.0,0.9803004264831543,s13,4,0.16943882405757904,spool speed control,corrected fan-speed deviation,inspect speed-control response and operating point
rul,3280,34,8.0,7.949533939361572,1.0,0.9803004264831543,s7,5,0.15262818336486816,compressor flow path,pressure-ratio degradation,inspect compressor flow path and pressure sensors
rul,3280,34,8.0,7.949533939361572,1.0,0.9803004264831543,s8,6,0.12612378597259521,fan and low-pressure compressor,fan-speed or low-spool operating anomaly,inspect fan/LPC operating margins
rul,3280,34,8.0,7.949533939361572,1.0,0.9803004264831543,s14,7,0.10717068612575531,spool speed control,corrected core-speed deviation,inspect core-speed response and controller behavior
rul,3280,34,8.0,7.949533939361572,1.0,0.9803004264831543,s20,8,0.07808110862970352,fuel and actuator response,fuel-flow or actuator response anomaly,inspect fuel metering and actuator response
rul,3280,34,8.0,7.949533939361572,1.0,0.9803004264831543,s9,9,0.072158083319664,high-pressure spool,high-spool speed anomaly,inspect high-pressure spool dynamics
rul,3280,34,8.0,7.949533939361572,1.0,0.9803004264831543,s21,10,0.06999223679304123,fuel and actuator response,fuel-flow or actuator response anomaly,inspect fuel metering and actuator response
rul,3280,34,8.0,7.949533939361572,1.0,0.9803004264831543,s4,11,0.06873733550310135,thermal core,elevated turbine temperature signature,inspect turbine gas path and cooling effectiveness
rul,3280,34,8.0,7.949533939361572,1.0,0.9803004264831543,s15,12,0.06035403907299042,engine efficiency,efficiency degradation signature,review performance deterioration and schedule detailed inspection
rul,3280,34,8.0,7.949533939361572,1.0,0.9803004264831543,s3,13,0.04499154910445213,thermal core,abnormal high-pressure compressor temperature,inspect compressor thermal margins and sensor calibration
rul,3280,34,8.0,7.949533939361572,1.0,0.9803004264831543,s17,14,0.039510905742645264,bleed and cooling control,bleed/cooling control deviation,inspect bleed and cooling control actuation
rul,7712,76,13.0,14.257037162780762,1.0,0.9795849323272705,s12,1,0.21551498770713806,bypass and flow path,bypass ratio or flow instability,inspect bypass flow and related instrumentation
rul,7712,76,13.0,14.257037162780762,1.0,0.9795849323272705,s9,2,0.19082704186439514,high-pressure spool,high-spool speed anomaly,inspect high-pressure spool dynamics
rul,7712,76,13.0,14.257037162780762,1.0,0.9795849323272705,s11,3,0.17878524959087372,bypass and flow path,bypass pressure or flow-path degradation,inspect bypass duct pressure behavior
rul,7712,76,13.0,14.257037162780762,1.0,0.9795849323272705,s2,4,0.16114398837089539,thermal core,abnormal core temperature trend,inspect temperature instrumentation and hot-section condition
rul,7712,76,13.0,14.257037162780762,1.0,0.9795849323272705,s21,5,0.13286663591861725,fuel and actuator response,fuel-flow or actuator response anomaly,inspect fuel metering and actuator response
rul,7712,76,13.0,14.257037162780762,1.0,0.9795849323272705,s14,6,0.12681350111961365,spool speed control,corrected core-speed deviation,inspect core-speed response and controller behavior
rul,7712,76,13.0,14.257037162780762,1.0,0.9795849323272705,s4,7,0.12491367012262344,thermal core,elevated turbine temperature signature,inspect turbine gas path and cooling effectiveness
rul,7712,76,13.0,14.257037162780762,1.0,0.9795849323272705,s15,8,0.11842033267021179,engine efficiency,efficiency degradation signature,review performance deterioration and schedule detailed inspection
rul,7712,76,13.0,14.257037162780762,1.0,0.9795849323272705,s7,9,0.0855635553598404,compressor flow path,pressure-ratio degradation,inspect compressor flow path and pressure sensors
rul,7712,76,13.0,14.257037162780762,1.0,0.9795849323272705,s20,10,0.05929948017001152,fuel and actuator response,fuel-flow or actuator response anomaly,inspect fuel metering and actuator response
rul,7712,76,13.0,14.257037162780762,1.0,0.9795849323272705,s3,11,0.053715649992227554,thermal core,abnormal high-pressure compressor temperature,inspect compressor thermal margins and sensor calibration
rul,7712,76,13.0,14.257037162780762,1.0,0.9795849323272705,s13,12,0.05131269991397858,spool speed control,corrected fan-speed deviation,inspect speed-control response and operating point
rul,7712,76,13.0,14.257037162780762,1.0,0.9795849323272705,s8,13,0.0459112673997879,fan and low-pressure compressor,fan-speed or low-spool operating anomaly,inspect fan/LPC operating margins
rul,7712,76,13.0,14.257037162780762,1.0,0.9795849323272705,s17,14,0.04439764842391014,bleed and cooling control,bleed/cooling control deviation,inspect bleed and cooling control actuation
rul,2968,31,10.0,12.060859680175781,1.0,0.979486882686615,s12,1,0.29800209403038025,bypass and flow path,bypass ratio or flow instability,inspect bypass flow and related instrumentation
rul,2968,31,10.0,12.060859680175781,1.0,0.979486882686615,s2,2,0.26342740654945374,thermal core,abnormal core temperature trend,inspect temperature instrumentation and hot-section condition
rul,2968,31,10.0,12.060859680175781,1.0,0.979486882686615,s11,3,0.2504938840866089,bypass and flow path,bypass pressure or flow-path degradation,inspect bypass duct pressure behavior
rul,2968,31,10.0,12.060859680175781,1.0,0.979486882686615,s21,4,0.2105497270822525,fuel and actuator response,fuel-flow or actuator response anomaly,inspect fuel metering and actuator response
rul,2968,31,10.0,12.060859680175781,1.0,0.979486882686615,s7,5,0.17443622648715973,compressor flow path,pressure-ratio degradation,inspect compressor flow path and pressure sensors
rul,2968,31,10.0,12.060859680175781,1.0,0.979486882686615,s4,6,0.16055215895175934,thermal core,elevated turbine temperature signature,inspect turbine gas path and cooling effectiveness
rul,2968,31,10.0,12.060859680175781,1.0,0.979486882686615,s15,7,0.13851921260356903,engine efficiency,efficiency degradation signature,review performance deterioration and schedule detailed inspection
rul,2968,31,10.0,12.060859680175781,1.0,0.979486882686615,s8,8,0.10419140756130219,fan and low-pressure compressor,fan-speed or low-spool operating anomaly,inspect fan/LPC operating margins
rul,2968,31,10.0,12.060859680175781,1.0,0.979486882686615,s20,9,0.09761270135641098,fuel and actuator response,fuel-flow or actuator response anomaly,inspect fuel metering and actuator response
rul,2968,31,10.0,12.060859680175781,1.0,0.979486882686615,s13,10,0.0899217277765274,spool speed control,corrected fan-speed deviation,inspect speed-control response and operating point
rul,2968,31,10.0,12.060859680175781,1.0,0.979486882686615,s9,11,0.08422485738992691,high-pressure spool,high-spool speed anomaly,inspect high-pressure spool dynamics
rul,2968,31,10.0,12.060859680175781,1.0,0.979486882686615,s3,12,0.07750017195940018,thermal core,abnormal high-pressure compressor temperature,inspect compressor thermal margins and sensor calibration
rul,2968,31,10.0,12.060859680175781,1.0,0.979486882686615,s17,13,0.06029469892382622,bleed and cooling control,bleed/cooling control deviation,inspect bleed and cooling control actuation
rul,2968,31,10.0,12.060859680175781,1.0,0.979486882686615,s14,14,0.0403328537940979,spool speed control,corrected core-speed deviation,inspect core-speed response and controller behavior
rul,6998,68,10.0,11.176876068115234,1.0,0.9794753789901733,s12,1,0.36200860142707825,bypass and flow path,bypass ratio or flow instability,inspect bypass flow and related instrumentation
rul,6998,68,10.0,11.176876068115234,1.0,0.9794753789901733,s11,2,0.3325008153915405,bypass and flow path,bypass pressure or flow-path degradation,inspect bypass duct pressure behavior
rul,6998,68,10.0,11.176876068115234,1.0,0.9794753789901733,s2,3,0.2888905107975006,thermal core,abnormal core temperature trend,inspect temperature instrumentation and hot-section condition
rul,6998,68,10.0,11.176876068115234,1.0,0.9794753789901733,s7,4,0.17658714950084686,compressor flow path,pressure-ratio degradation,inspect compressor flow path and pressure sensors
rul,6998,68,10.0,11.176876068115234,1.0,0.9794753789901733,s21,5,0.16733500361442566,fuel and actuator response,fuel-flow or actuator response anomaly,inspect fuel metering and actuator response
rul,6998,68,10.0,11.176876068115234,1.0,0.9794753789901733,s4,6,0.138539120554924,thermal core,elevated turbine temperature signature,inspect turbine gas path and cooling effectiveness
rul,6998,68,10.0,11.176876068115234,1.0,0.9794753789901733,s15,7,0.12635840475559235,engine efficiency,efficiency degradation signature,review performance deterioration and schedule detailed inspection
rul,6998,68,10.0,11.176876068115234,1.0,0.9794753789901733,s13,8,0.12621861696243286,spool speed control,corrected fan-speed deviation,inspect speed-control response and operating point
rul,6998,68,10.0,11.176876068115234,1.0,0.9794753789901733,s8,9,0.10572000592947006,fan and low-pressure compressor,fan-speed or low-spool operating anomaly,inspect fan/LPC operating margins
rul,6998,68,10.0,11.176876068115234,1.0,0.9794753789901733,s20,10,0.09611529856920242,fuel and actuator response,fuel-flow or actuator response anomaly,inspect fuel metering and actuator response
rul,6998,68,10.0,11.176876068115234,1.0,0.9794753789901733,s17,11,0.07111341506242752,bleed and cooling control,bleed/cooling control deviation,inspect bleed and cooling control actuation
rul,6998,68,10.0,11.176876068115234,1.0,0.9794753789901733,s9,12,0.0579204335808754,high-pressure spool,high-spool speed anomaly,inspect high-pressure spool dynamics
